id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
1071235,Cozy JP Studio-Great Location!,965697,Chris & Kristina,,Jamaica Plain,42.31748,-71.10819,Entire home/apt,90,2,323,2019-12-22,3.92,2,112
1077105,"Studio Apt. for Rent in South End, ",5927277,J,,South End,42.34022,-71.075,Entire home/apt,176,1,0,,,1,0
1090413,HynesConventionCtr-5min-Lge Rm-Pvt Bath,1984434,Irene,,Back Bay,42.34502,-71.0803,Private room,100,3,165,2019-12-7,2.44,3,303
1090545,BostonCtrBackBay-Pvt Bath&Rm-Comfy Bed,1984434,Irene,,Back Bay,42.34373,-71.08224,Private room,100,3,117,2019-12-6,1.44,3,285
1092093,Duplex Penthouse in Longwood Area,26988,Anne,,Mission Hill,42.33285,-71.10115,Entire home/apt,95,32,32,2019-5-18,0.39,8,175
1109224,4 bedroom Victorian Condo unit,1531239,Lita,,Jamaica Plain,42.32051,-71.11216,Entire home/apt,439,2,73,2019-11-10,0.93,1,331
1136972,Boston Room/Free Transit/ By Subway,1480518,Lisa,,Jamaica Plain,42.29444,-71.11995,Private room,60,1,344,2017-6-20,4.23,3,0
1161210,Cozy rooms with parking and Wi-Fi 波士顿近郊舒适的睡房附带免费｡｡,3887707,Emily,,West Roxbury,42.27176,-71.16759,Private room,70,28,209,2019-8-16,2.56,1,123
1167221,BOSTON 2 Room + private bath for 3 walk to Train,6391436,Robin,,Jamaica Plain,42.30844,-71.11726,Private room,90,1,255,2020-2-1,3.56,4,107
1167987,Long-term Rental: Single Room/Sh Bath/No Cooking,7969,Carolyn,,Roslindale,42.29317,-71.13016,Private room,26,90,8,2019-4-13,0.11,2,152
1171578, Private Room in a One Family House,3765817,Frank,,Brighton,42.35384,-71.16795,Private room,99,1,249,2019-12-6,3.16,1,357
1187188,Entire loft in Boston,2238969,Kenji,,Jamaica Plain,42.30693,-71.10789,Entire home/apt,136,91,28,2019-7-23,0.4,1,358
1197857,19th Century on Tremont | Modern Unit 1BR 1BA #6,1444340,Short Term Rentals Boston,,Roxbury,42.33852,-71.07985,Entire home/apt,167,29,120,2019-12-30,1.48,19,239
1200502,Charming Garden Studio In South End,6557340,Karoline,,South End,42.33843,-71.07685,Entire home/apt,165,2,95,2019-12-28,1.23,1,327
1220971,Boston Huge 1BR Best location (h2b),5578043,Dror,,North End,42.36598,-71.0528,Entire home/apt,149,28,145,2020-1-6,1.96,7,321
1222327,"Cozy, 2 bdr,  2 baths, house near medical area!",6668129,Chuck,,Jamaica Plain,42.32473,-71.10792,Entire home/apt,121,5,15,2019-10-12,0.26,1,0
1240598,"Downtown Studio, Historic Theater District",2356643,Voyage,,Downtown,42.35257,-71.0636,Entire home/apt,145,10,169,2019-10-19,2.08,9,349
1252489,Beacon Hill 1-Bed,6824319,Samantha,,Beacon Hill,42.36105,-71.06593,Entire home/apt,200,2,65,2017-8-28,0.8,1,0
1275498,"Sun-Filled with Views & Charm, Walk Everywhere",5430185,Laura And Olivia,,South End,42.34294,-71.07304,Entire home/apt,130,3,41,2020-2-7,0.52,7,222
1278391,Perfect Back Bay get away! ,6957165,Melissa,,Back Bay,42.34853,-71.08549,Entire home/apt,199,1,35,2015-5-31,0.5,1,0
1321422,Barney's Master Bedroom T Downtown,6608084,CarneyFamily,,Dorchester,42.30907,-71.04674,Private room,76,1,571,2020-2-9,7.13,6,165
1327725,Modern 2 BR in Brighton with Parking,7205617,Mikhail,,Brighton,42.346,-71.1399,Entire home/apt,147,3,251,2020-1-16,3.13,1,85
1332786,Cozy One Person Only - Quick Downtown,6608084,CarneyFamily,,Dorchester,42.30901,-71.04672,Private room,47,1,423,2020-1-11,5.28,6,108
1374434,"Authentic Boston, cozy room",255183,Michelle,,Roxbury,42.32546,-71.08894,Private room,65,91,39,2019-9-24,0.5,3,269
1374466,"Real Boston, off the beaten track",255183,Michelle,,Roxbury,42.32546,-71.08894,Private room,60,28,38,2019-12-31,0.51,3,164
1403408,Big Boston room,255183,Michelle,,Roxbury,42.32546,-71.08894,Private room,70,91,18,2019-6-29,0.23,3,193
1425973,Historic brick Victorian row house ,1015632,Kevin,,South End,42.33937,-71.08026,Private room,350,29,25,2019-9-6,0.32,1,89
1445064,Bright Sunlit bedroom near Spaulding/Downtown,4724006,Rosalia,,Charlestown,42.38017,-71.06236,Private room,68,28,103,2019-11-24,1.31,1,51
1454258,Inviting Queen Anne Victorian,7799789,Bruce,,Dorchester,42.30844,-71.0464,Private room,80,1,311,2019-11-5,3.92,3,362
1471308,Cozy Private Room Near Transit,7673571,Alexandra,,Mission Hill,42.33325,-71.10253,Private room,70,2,166,2019-6-21,2.1,1,150
1472481,John and Robert's Harbor View,6608084,CarneyFamily,,Dorchester,42.30901,-71.04672,Private room,75,1,558,2020-1-24,7.13,6,210
1472520,Andrea's Private Bath T Downtown,6608084,CarneyFamily,,Dorchester,42.30856,-71.04646,Private room,83,1,590,2020-2-7,7.48,6,157
1494726,Cozy in Rozzie!,7506913,Maria Cecilia,,Roslindale,42.27572,-71.13014,Private room,75,28,15,2019-8-23,0.23,1,0
1510876,Room with Sleeper Sofa Bed,7799789,Bruce,,Dorchester,42.31019,-71.04829,Private room,60,1,45,2019-8-9,0.57,3,306
1541166,Beautiful Studio 15 min to Downtown,552418,Vanya,,Charlestown,42.38159,-71.07892,Entire home/apt,109,2,39,2020-1-1,0.5,1,0
1544144,Charming Historic Home in Charlestown,7353037,Nancy And Tom,,Charlestown,42.37203,-71.06165,Entire home/apt,350,3,13,2019-12-30,0.61,1,225
1544702,Mary's Ocean View Metro Downtown,6608084,CarneyFamily,,Dorchester,42.30901,-71.04672,Private room,77,1,565,2020-2-8,7.22,6,171
1545185,"Large 1 Bed, Kitchen & Bath w/ Off Street Parking",697401,Nick,,Brighton,42.3484,-71.15696,Entire home/apt,140,2,120,2020-1-13,1.55,3,117
1584362,Grace's Harborview Fast T Downtown,6608084,CarneyFamily,,Dorchester,42.30976,-71.04742,Private room,63,1,608,2020-1-31,7.84,6,167
1596470,3-story Luxury in Central Location,480310,Michael,,Bay Village,42.34988,-71.06918,Entire home/apt,265,29,139,2018-12-28,1.79,1,90
1596664,"Fort Hill Top - 2Bk Private room,  brick townhouse",8513158,Kevin,,Roxbury,42.3256,-71.09413,Private room,78,60,19,2019-7-14,0.84,3,179
1644031,Large Private bedroom by Seaport,8725557,Brooke,,South Boston Waterfront,42.34017,-71.04763,Private room,105,1,249,2020-1-16,5.16,1,94
1668313,Room in Rozzie-Twin Bed-Full Bath,8834105,Rebecca,,Roslindale,42.28194,-71.13337,Private room,53,28,36,2019-9-23,0.47,2,365
